Split,Disease,AUC,F1,Precision,Recall,Threshold
Train,Cataract,0.9978,0.9404,0.9441,0.9367,0.49
Train,DR,0.9733,0.8914,0.9041,0.8791,0.45
Train,Glaucoma,0.9808,0.7529,0.897,0.6486,0.57
Train,Myopia,0.9948,0.8565,0.8433,0.8702,0.5
Train,MACRO AVG,0.9867,0.8603,0.8971,0.8336,-
Val (tune),Cataract,0.9927,0.91,0.9286,0.8922,0.49
Val (tune),DR,0.954,0.8563,0.8653,0.8476,0.45
Val (tune),Glaucoma,0.9692,0.7205,0.8832,0.6084,0.57
Val (tune),Myopia,0.9818,0.8346,0.8281,0.8413,0.5
Val (tune),MACRO AVG,0.9744,0.8304,0.8763,0.7974,-
Test,Cataract,0.9853,0.8734,0.8621,0.885,0.49
Test,DR,0.9518,0.8483,0.8599,0.837,0.45
Test,Glaucoma,0.9659,0.6897,0.8333,0.5882,0.57
Test,Myopia,0.9706,0.7317,0.75,0.7143,0.5
Test,MACRO AVG,0.9684,0.7857,0.8263,0.7561,-
